Date;CNY;JPY;KRW;USD
02-Jan-2001;8.2779;;;1
03-Jan-2001;8.2773;;;1
04-Jan-2001;8.2781;113.85;;1
05-Jan-2001;8.2775;116.5;;1
08-Jan-2001;8.2778;;;1
09-Jan-2001;8.2771;115.9;;1
10-Jan-2001;8.2769;117.05;;1
11-Jan-2001;8.2767;116.7;;1
12-Jan-2001;8.2768;118.1;;1
15-Jan-2001;;119.25;;1
16-Jan-2001;8.2766;118.35;;1
17-Jan-2001;8.2764;117.05;;1
18-Jan-2001;8.2764;119;;1
19-Jan-2001;8.2764;117.45;;1
22-Jan-2001;8.2782;116.65;;1
23-Jan-2001;8.2786;117;;1
24-Jan-2001;8.2786;116.9;;1
25-Jan-2001;8.2786;117.7;;1
26-Jan-2001;8.2786;116.9;;1
29-Jan-2001;8.2786;117.66;;1
30-Jan-2001;8.2786;116.65;;1
31-Jan-2001;8.2781;116.15;;1
01-Feb-2001;8.2772;116.4;;1
02-Feb-2001;8.2774;115.25;;1
05-Feb-2001;8.277;115.85;;1
06-Feb-2001;8.2766;115;;1
07-Feb-2001;8.2765;114.9;;1
08-Feb-2001;8.2763;116.25;;1
09-Feb-2001;8.2764;116.55;;1
12-Feb-2001;8.2774;;;1
13-Feb-2001;8.2765;117.25;;1
14-Feb-2001;8.2764;116.65;;1
15-Feb-2001;8.2772;116.2;;1
16-Feb-2001;8.277;115.7;;1
19-Feb-2001;;115.83;;1
20-Feb-2001;8.2767;116.08;;1
21-Feb-2001;8.2772;115.55;;1
22-Feb-2001;8.2769;116;;1
23-Feb-2001;8.2774;116.75;;1
26-Feb-2001;8.2776;116.05;;1
27-Feb-2001;8.2781;116.05;;1
28-Feb-2001;8.2783;116.4;;1
01-Mar-2001;8.2778;117.3;;1
02-Mar-2001;8.2782;117.5;;1
05-Mar-2001;8.2777;119.3;;1
06-Mar-2001;8.2778;118.7;;1
07-Mar-2001;8.2773;119.3;;1
08-Mar-2001;8.277;120.2;;1
09-Mar-2001;8.2774;119.5;;1
12-Mar-2001;8.2784;120.45;;1
13-Mar-2001;8.2783;120.18;;1
14-Mar-2001;8.2778;119.68;;1
15-Mar-2001;8.2776;120.85;;1
16-Mar-2001;8.2771;122.45;;1
19-Mar-2001;8.2772;123.3;;1
20-Mar-2001;8.2772;;;1
21-Mar-2001;8.2771;123.25;;1
22-Mar-2001;8.2768;123.65;;1
23-Mar-2001;8.2773;123.1;;1
26-Mar-2001;8.2771;123.5;;1
27-Mar-2001;8.2773;122.5;;1
28-Mar-2001;8.2777;121.9;1307.5;1
29-Mar-2001;8.2779;122.4;1303.3;1
30-Mar-2001;8.2777;124.6;1314;1
02-Apr-2001;8.2776;126.3;1328;1
03-Apr-2001;8.2772;126.45;1342.3;1
04-Apr-2001;8.2771;125.95;1345.4;1
05-Apr-2001;8.2768;124.7;;1
06-Apr-2001;8.2767;125.2;1351.5;1
09-Apr-2001;8.277;124.85;1346.8;1
10-Apr-2001;8.2769;124.9;1340.6;1
11-Apr-2001;8.2769;124;1337.5;1
12-Apr-2001;8.2772;123;1322.5;1
13-Apr-2001;8.2769;124.2;1325.1;1
16-Apr-2001;8.2769;124.65;1322.8;1
17-Apr-2001;8.2775;124.45;1331.7;1
18-Apr-2001;8.2775;122.85;1324.2;1
19-Apr-2001;8.2773;122.1;1313.7;1
20-Apr-2001;8.2775;121.6;1298.6;1
23-Apr-2001;8.277;122.05;1309.2;1
24-Apr-2001;8.2769;121.55;1314.5;1
25-Apr-2001;8.2767;122.2;1310.3;1
26-Apr-2001;8.2769;122.1;1310.6;1
27-Apr-2001;8.2773;123.45;1309.8;1
30-Apr-2001;8.2773;;1324.7;1
01-May-2001;8.2774;123.2;;1
02-May-2001;8.2774;122.1;1321.1;1
03-May-2001;8.2774;;1304.5;1
04-May-2001;8.2774;;1295.3;1
07-May-2001;8.2774;121.68;1293.1;1
08-May-2001;8.2785;121.65;1302.2;1
09-May-2001;8.2775;121.65;1298.1;1
10-May-2001;8.2771;122.15;1303.6;1
11-May-2001;8.2771;122.5;1306.2;1
14-May-2001;8.2771;122.68;1301.7;1
15-May-2001;8.2769;123.25;1297.4;1
16-May-2001;8.2769;123.9;1304;1
17-May-2001;8.2767;123.25;1307.2;1
18-May-2001;8.2768;122.65;1302.5;1
21-May-2001;8.2778;123.45;1299.2;1
22-May-2001;8.2774;122.85;1302.9;1
23-May-2001;8.2771;121.6;1294.8;1
24-May-2001;8.277;120;1286.6;1
25-May-2001;8.2771;120.2;1280.8;1
28-May-2001;;121;1288.5;1
29-May-2001;8.2768;121.37;1295.3;1
30-May-2001;8.2777;120.2;1294.1;1
31-May-2001;8.277;119.2;1292.9;1
01-Jun-2001;8.2777;119.15;1286;1
04-Jun-2001;8.277;119.4;1282.2;1
05-Jun-2001;8.2769;119.3;1285.3;1
06-Jun-2001;8.2772;120.5;;1
07-Jun-2001;8.2767;120.2;1285.9;1
08-Jun-2001;8.2767;120.2;1287.8;1
11-Jun-2001;8.2767;121.15;1285.8;1
12-Jun-2001;8.2771;121.9;1289.6;1
13-Jun-2001;8.2779;122.2;1290.3;1
14-Jun-2001;8.2773;121.9;1292.1;1
15-Jun-2001;8.277;121.52;1291.7;1
18-Jun-2001;8.277;122.85;1292;1
19-Jun-2001;8.2779;123.3;1299.8;1
20-Jun-2001;8.277;123.1;1304.3;1
21-Jun-2001;8.2769;123.85;1298;1
22-Jun-2001;8.2767;124.3;1301.9;1
25-Jun-2001;8.2768;124.2;1304.2;1
26-Jun-2001;8.2768;123.6;1302.9;1
27-Jun-2001;8.2768;123.95;1298.9;1
28-Jun-2001;8.277;124.6;1299.8;1
29-Jun-2001;8.2767;124.05;1302.3;1
02-Jul-2001;8.277;124.7;1300.7;1
03-Jul-2001;8.2767;123.95;1300.3;1
04-Jul-2001;;124.5;1295.3;1
05-Jul-2001;8.2767;125.4;1295.5;1
06-Jul-2001;8.2768;125.75;1295;1
09-Jul-2001;8.2767;125.55;1295.5;1
10-Jul-2001;8.277;125.85;1296.6;1
11-Jul-2001;8.2769;125.65;1297.7;1
12-Jul-2001;8.2769;124.1;1307.4;1
13-Jul-2001;8.2767;124.2;1307.2;1
16-Jul-2001;8.2767;124.98;1304;1
17-Jul-2001;8.2769;125.45;;1
18-Jul-2001;8.277;125.25;1311.6;1
19-Jul-2001;8.2768;124;1310.1;1
20-Jul-2001;8.2768;124;1305.9;1
23-Jul-2001;8.277;123.55;1303.7;1
24-Jul-2001;8.2773;124.35;1308.6;1
25-Jul-2001;8.277;124.35;1312.1;1
26-Jul-2001;8.2771;123.5;1308.7;1
27-Jul-2001;8.277;123.75;1302.2;1
30-Jul-2001;8.2767;124.65;1301.1;1
31-Jul-2001;8.277;124.8;1301.4;1
01-Aug-2001;8.2769;124.8;1302.5;1
02-Aug-2001;8.2768;124.4;1297.7;1
03-Aug-2001;8.2768;123.95;1291.3;1
06-Aug-2001;8.277;123.96;1283.8;1
07-Aug-2001;8.2772;123.9;1287.5;1
08-Aug-2001;8.2773;123.5;1288.6;1
09-Aug-2001;8.2773;123.5;1285.7;1
10-Aug-2001;8.2768;122.15;;1
13-Aug-2001;8.2771;122.05;;1
14-Aug-2001;8.2773;123;;1
15-Aug-2001;8.2771;121.45;;1
16-Aug-2001;8.277;119.85;1288;1
17-Aug-2001;8.2768;120.25;1278.5;1
20-Aug-2001;8.2768;120.45;1283.4;1
21-Aug-2001;8.2768;120.83;1286.9;1
22-Aug-2001;8.2769;119.8;1286.1;1
23-Aug-2001;8.2768;120.45;1282.4;1
24-Aug-2001;8.2773;119.7;;1
27-Aug-2001;8.277;120.23;1282;1
28-Aug-2001;8.2768;120.25;1280.7;1
29-Aug-2001;8.2769;119.9;1279.4;1
30-Aug-2001;8.2767;119.65;1281.8;1
31-Aug-2001;8.2769;118.95;1283.8;1
03-Sep-2001;;119.15;1282.1;1
04-Sep-2001;8.2768;118.9;1280.1;1
05-Sep-2001;8.277;119.75;1280.2;1
06-Sep-2001;8.2768;121.3;1282.8;1
07-Sep-2001;8.2767;121;1286.6;1
10-Sep-2001;8.2767;120.05;1287.6;1
11-Sep-2001;8.2769;121.6;1288.7;1
12-Sep-2001;8.2769;119.35;1295.2;1
13-Sep-2001;8.2768;119.7;1285.2;1
14-Sep-2001;8.2766;119;1289.4;1
17-Sep-2001;8.2767;117.85;1296.7;1
18-Sep-2001;8.2768;117.85;1297.5;1
19-Sep-2001;8.2766;117.95;1297.8;1
20-Sep-2001;8.2766;117.53;1296;1
21-Sep-2001;8.2767;117.2;1298.7;1
24-Sep-2001;8.277;;1298;1
25-Sep-2001;8.2772;117.3;1307.2;1
26-Sep-2001;8.2769;117.3;1306.5;1
27-Sep-2001;8.2769;118.45;1306.7;1
28-Sep-2001;8.2768;119.3;1305.9;1
01-Oct-2001;8.2768;119.75;;1
02-Oct-2001;8.2768;120.25;;1
03-Oct-2001;8.2768;120.9;;1
04-Oct-2001;8.2768;120.35;1309.1;1
05-Oct-2001;8.2768;120.5;1313.9;1
08-Oct-2001;;;1312.9;1
09-Oct-2001;8.2769;120;1311.8;1
10-Oct-2001;8.2768;120.5;1308.7;1
11-Oct-2001;8.2766;120.25;1307.4;1
12-Oct-2001;8.2765;121.33;1302.8;1
15-Oct-2001;8.2766;121.05;1299.9;1
16-Oct-2001;8.2767;120.75;1296.4;1
17-Oct-2001;8.2769;121.6;1296.8;1
18-Oct-2001;8.277;121;1302.6;1
19-Oct-2001;8.2768;121.2;1299;1
22-Oct-2001;8.277;121.45;1301.2;1
23-Oct-2001;8.2768;122.65;1303;1
24-Oct-2001;8.2767;122.58;1304.3;1
25-Oct-2001;8.2769;123.1;1300.4;1
26-Oct-2001;8.277;122.68;1296.2;1
29-Oct-2001;8.277;122.53;1296;1
30-Oct-2001;8.2768;121.95;1294;1
31-Oct-2001;8.2768;121.82;1296.1;1
01-Nov-2001;8.2769;122.33;1297;1
02-Nov-2001;8.2769;121.83;1296.8;1
05-Nov-2001;8.2768;121.73;1296.6;1
06-Nov-2001;8.2767;121.55;1296.2;1
07-Nov-2001;8.2766;120.83;1295.9;1
08-Nov-2001;8.2766;120.95;1292.8;1
09-Nov-2001;8.2766;120.35;1289.3;1
11-Nov-2001;;;;1
12-Nov-2001;8.2765;120.45;1282.5;1
13-Nov-2001;8.2765;120.85;1284.3;1
14-Nov-2001;8.2767;121.55;1285.3;1
15-Nov-2001;8.277;122.2;1284.8;1
16-Nov-2001;8.2771;122.4;1283.1;1
19-Nov-2001;8.277;123;1283.4;1
20-Nov-2001;8.2769;123.05;1283.9;1
21-Nov-2001;8.2769;123.3;1283.1;1
22-Nov-2001;;123.2;1281.5;1
23-Nov-2001;;;1278.7;1
26-Nov-2001;8.277;124.1;1275.6;1
27-Nov-2001;8.277;124.28;1266.3;1
28-Nov-2001;8.2772;123.55;1265.2;1
29-Nov-2001;8.2774;123.02;1269.7;1
30-Nov-2001;8.2772;123.95;1274;1
03-Dec-2001;8.277;123.7;1269.7;1
04-Dec-2001;8.2771;124.25;1272.4;1
05-Dec-2001;8.2772;124.2;1271.9;1
06-Dec-2001;8.2773;124.7;1271;1
07-Dec-2001;8.2772;124.93;1268.4;1
10-Dec-2001;8.277;125.75;1273.3;1
11-Dec-2001;8.2768;125.95;1280.4;1
12-Dec-2001;8.2768;125.88;1280.1;1
13-Dec-2001;8.2767;126.1;1274.4;1
14-Dec-2001;8.2768;127.35;1274;1
17-Dec-2001;8.2769;127.8;1281.1;1
18-Dec-2001;8.2768;128.25;1292.5;1
19-Dec-2001;8.2767;128.2;1292.7;1
20-Dec-2001;8.2766;128.7;1291.4;1
21-Dec-2001;8.2767;129.35;;1
24-Dec-2001;;;1311;1
25-Dec-2001;;130.8;;1
26-Dec-2001;8.2766;130.8;1308;1
27-Dec-2001;8.2767;131.3;1317.6;1
28-Dec-2001;8.2768;131.8;;1
31-Dec-2001;;;1326.1;1
01-Jan-2002;;;;1
02-Jan-2002;8.2766;;1314.6;1
03-Jan-2002;8.2766;;1320.4;1
04-Jan-2002;8.2768;131.1;1317.2;1
07-Jan-2002;8.2767;130.8;1307.7;1
08-Jan-2002;8.2766;131.88;1302.9;1
09-Jan-2002;8.2767;132.98;1309.5;1
10-Jan-2002;8.2766;132.15;1314.3;1
11-Jan-2002;8.2768;132.35;1314.2;1
14-Jan-2002;8.2767;;1311.4;1
15-Jan-2002;8.2768;131.7;1311.6;1
