Month;Exports;Imports;Balance
January 2001;1,187.5;8,427.5;-7,240.0
February 2001;1,289.8;6,375.6;-5,085.8
March 2001;1,855.8;7,590.2;-5,734.4
April 2001;1,398.9;7,686.8;-6,287.9
May 2001;1,596.0;7,757.9;-6,161.9
June 2001;1,786.4;8,398.2;-6,611.8
July 2001;1,487.0;8,975.3;-7,488.3
August 2001;1,929.7;10,042.9;-8,113.2
September 2001;1,427.8;9,927.8;-8,500.0
October 2001;1,647.7;10,808.3;-9,160.6
November 2001;1,674.5;8,878.8;-7,204.3
December 2001;1,901.2;7,409.1;-5,507.9
January 2002;1,569.3;8,415.4;-6,846.1
February 2002;1,529.5;8,020.8;-6,491.3
March 2002;1,620.5;7,259.0;-5,638.5
April 2002;1,544.5;9,097.6;-7,553.1
May 2002;1,773.9;9,846.9;-8,073.0
June 2002;2,205.9;10,727.2;-8,521.3
July 2002;1,848.0;11,213.2;-9,365.2
August 2002;1,839.8;12,671.4;-10,831.6
September 2002;2,023.7;12,291.5;-10,267.8
October 2002;1,962.7;11,455.0;-9,492.3
November 2002;2,160.8;12,569.6;-10,408.8
December 2002;2,049.1;11,625.0;-9,575.9
January 2003;2,069.8;11,403.5;-9,333.7
February 2003;2,048.7;9,629.6;-7,581.0
March 2003;2,423.1;10,110.0;-7,686.9
April 2003;2,121.9;11,521.9;-9,399.9
May 2003;1,984.3;11,884.7;-9,900.4
June 2003;2,119.6;12,127.3;-10,007.7
July 2003;2,067.4;13,438.6;-11,371.2
August 2003;2,034.4;13,764.9;-11,730.4
September 2003;2,091.0;14,747.5;-12,656.5
October 2003;2,778.3;16,458.3;-13,680.0
November 2003;3,319.7;14,156.9;-10,837.3
December 2003;3,309.6;13,192.8;-9,883.2
January 2004;2,620.5;14,089.0;-11,468.5
February 2004;2,929.0;11,267.1;-8,338.2
March 2004;3,361.9;13,800.1;-10,438.2
April 2004;2,734.6;14,744.8;-12,010.2
May 2004;2,835.1;15,067.1;-12,232.1
June 2004;2,764.2;16,887.8;-14,123.5
July 2004;2,618.8;17,562.1;-14,943.3
August 2004;2,621.0;18,067.9;-15,446.9
September 2004;2,823.1;18,386.9;-15,563.9
October 2004;2,946.7;19,718.2;-16,771.4
November 2004;2,938.2;19,679.0;-16,740.8
December 2004;3,234.8;17,412.0;-14,177.2
January 2005;2,609.3;17,885.8;-15,276.5
February 2005;3,058.1;16,937.6;-13,879.5
March 2005;3,336.4;16,184.9;-12,848.6
April 2005;3,263.7;18,148.5;-14,884.8
May 2005;3,222.9;19,053.2;-15,830.3
June 2005;3,370.7;20,976.7;-17,606.0
July 2005;3,560.0;21,272.7;-17,712.7
August 2005;3,728.7;22,421.3;-18,692.6
September 2005;3,165.8;23,294.5;-20,128.7
October 2005;3,899.2;24,382.9;-20,483.7
November 2005;3,807.5;22,426.1;-18,618.6
December 2005;4,169.8;20,486.0;-16,316.2
January 2006;3,396.9;21,382.5;-17,985.6
February 2006;4,072.2;17,905.4;-13,833.1
March 2006;4,867.1;20,531.3;-15,664.2
April 2006;4,232.4;21,459.1;-17,226.7
May 2006;4,434.1;22,317.6;-17,883.5
June 2006;4,302.9;23,989.7;-19,686.8
July 2006;4,806.3;24,632.0;-19,825.7
August 2006;4,603.3;26,713.3;-22,110.1
September 2006;4,461.0;27,570.6;-23,109.6
October 2006;4,885.3;29,388.6;-24,503.3
November 2006;4,595.8;27,775.1;-23,179.3
December 2006;5,015.8;24,109.2;-19,093.4
January 2007;4,389.5;25,640.6;-21,251.0
February 2007;4,532.9;23,038.9;-18,506.0
March 2007;5,425.4;22,723.0;-17,297.7
April 2007;4,704.0;24,241.5;-19,537.6
May 2007;5,129.4;25,290.6;-20,161.1
June 2007;5,561.8;27,071.0;-21,509.2
July 2007;4,665.9;28,601.2;-23,935.2
August 2007;5,552.8;28,424.5;-22,871.7
September 2007;5,311.9;29,419.0;-24,107.1
October 2007;5,532.9;31,555.4;-26,022.5
November 2007;5,581.5;29,780.7;-24,199.2
December 2007;6,548.9;25,656.6;-19,107.7
January 2008;5,556.7;26,193.0;-20,636.3
February 2008;5,698.1;24,095.9;-18,397.8
March 2008;6,294.4;22,440.2;-16,145.9
April 2008;5,651.2;25,951.7;-20,300.4
May 2008;6,275.7;27,634.5;-21,358.9
June 2008;6,188.2;27,930.6;-21,742.5
July 2008;6,234.6;31,247.3;-25,012.6
August 2008;6,201.3;31,823.7;-25,622.4
